"individualCount","eventDate","stateProvince","locality","decimalLatitude","decimalLongitude","scientificName","verbatimScientificName","datasetKey","commonName"
1,2021-11-26,"Gujarat","Chhari Dhandh Conservation Reserve",23.582237,69.31515,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
2,2021-11-21,"Uttarakhand","Jaunpur Range, Uttarakhand, IN (30.551, 78.206) Mulayatu Khet",30.550535,78.205986,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-11-06,"Jharkhand","Hazaribagh Pinjrapole Gaushala",23.963,85.426,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
NA,2021-11-11,"Uttarakhand","Chopta",30.485682,79.20091,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
NA,2021-11-12,"Uttarakhand","Tungnath",30.488224,79.21691,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
13,2021-11-24,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
3,2021-11-30,"Uttarakhand","Chopta Valley (OBI)",30.348003,79.05209,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
NA,2021-11-26,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
4,2021-11-28,"Haryana","Najafgarh Jheel Bird Sanctuary",28.502525,76.94569,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
5,2021-11-23,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Aegypius monachus (Linnaeus, 1766)","Aegypius monachus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Cinereous Vulture"
4,2021-09-20,"Uttarakhand","Buransh Khanda, Kempty Range, Uttarakhand, IN (30.443, 78.206)",30.443295,78.20629,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-10-17,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.719687,70.595436,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-11-24,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.722372,70.60445,"Aegypius monachus (Linnaeus, 1766)","Aegypius monachus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Cinereous Vulture"
3,2021-11-22,"Uttarakhand","Devprayag",30.147074,78.59808,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
100,2021-11-13,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
NA,2021-11-26,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-11-26,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Aegypius monachus (Linnaeus, 1766)","Aegypius monachus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Cinereous Vulture"
7,2021-11-14,"Rajasthan","Submersible Bridge, Chittorgarh IN-RJ 24.92863, 75.55716",24.928635,75.55717,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
1,2021-11-28,"Uttarakhand","Chamoli",30.11542,78.67042,"Sarcogyps calvus (Scopoli, 1786)","Sarcogyps calvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Red-headed Vulture"
2,2021-11-21,"Uttar Pradesh","Suhelwa East Range",27.83012,82.15993,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
2,2021-11-28,"Rajasthan","Vallabh Nagar and surrounding area",24.670616,74.00999,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-09-30,"Rajasthan","Tal Chapar",27.810007,74.42755,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-09-26,"Himachal Pradesh","Kee village",32.292576,78.012886,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
6,2021-11-23,"Uttarakhand","Chopta",30.485682,79.20091,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
5,2021-11-23,"Uttarakhand","Tungnath",30.488224,79.21691,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
2,2021-10-10,"Tamil Nadu","Masinagudi",11.570583,76.64002,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
9,2021-11-14,"Rajasthan","Chambal Gorge, Kota",25.15184,75.808365,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
1,2021-11-19,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.722372,70.60445,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
5,2021-09-30,"Punjab","Choti dhar",32.411175,75.80011,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-09-05,"Rajasthan","Vallabh Nagar and surrounding area",24.670616,74.00999,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-11-20,"Uttarakhand","Chopta Valley (OBI)",30.348003,79.05209,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
3,2021-11-30,"Uttarakhand","Chopta Valley (OBI)",30.348003,79.05209,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-10-09,"Gujarat","Kheda-Khambhat Highway, Khambhat, Gujarat, IN (22.337, 72.617)",22.336515,72.61726,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
1,2021-11-04,"Jammu and Kashmir","Srinagar-Charar-i-Sharief Road, Nagam (33.928, 74.799)",33.927982,74.79866,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
2,2021-11-22,"Uttar Pradesh","Suhelwa (Suheldev) WLS -- Pipra FRH (Hathiakunda Trail)",27.78166,82.19774,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-11-24,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
3,2021-10-10,"Rajasthan","Malah, Rajasthan, IN (27.179, 77.488)",27.17923,77.488266,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
6,2021-11-05,"Assam","Dhadum Pathar & Surroundings",27.709614,95.58118,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
50,2021-11-13,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
8,2021-11-19,"Sikkim","Gnathang Valley",27.29784,88.817276,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
2,2021-11-12,"Gujarat","Viramgam, Ahmedabad (OBI)",23.135632,72.04223,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-11-24,"Uttarakhand","Chopta Valley (OBI)",30.348003,79.05209,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-11-20,"Uttarakhand","Chopta Valley (OBI)",30.348003,79.05209,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
2,2021-10-13,"Karnataka","Nagarahole (Murkal)",12.125003,76.160736,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
14,2021-10-23,"Rajasthan","Tal Chhapar WLS--Gaushala Area",27.807499,74.44986,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-09-12,"Rajasthan","Jodbeer",27.963627,73.389915,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
2,2021-11-19,"Madhya Pradesh","Bandhavgarh Tiger Reserve--Magdhi Zone",23.58688,81.02069,"Sarcogyps calvus (Scopoli, 1786)","Sarcogyps calvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Red-headed Vulture"
1,2021-11-29,"Madhya Pradesh","Nauradehi Wildlife Sanctuary, Madhya Pradesh, India",23.549406,79.17793,"Sarcogyps calvus (Scopoli, 1786)","Sarcogyps calvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Red-headed Vulture"
2,2021-11-24,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.722372,70.60445,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
1,2021-09-26,"Kerala","Kartikulam Tholpetty Road, Kerala, IN (11.873, 76.073)",11.873085,76.072815,"Sarcogyps calvus (Scopoli, 1786)","Sarcogyps calvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Red-headed Vulture"
1,2021-11-29,"Madhya Pradesh","Nauradehi Wildlife Sanctuary, Madhya Pradesh, India",23.549406,79.17793,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
2,2021-09-18,"Rajasthan","Kotra, Udaipur IN-RJ (24.1963,73.1947)",24.19629,73.194664,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
4,2021-11-06,"Jharkhand","Hazaribagh Pinjrapole Gaushala",23.963,85.426,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
5,2021-11-29,"Madhya Pradesh","Nauradehi Wildlife Sanctuary, Madhya Pradesh, India",23.549406,79.17793,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
30,2021-09-12,"Rajasthan","Chambal River, Kota IN-RJ 25.16360, 75.81883",25.1636,75.81883,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
1,2021-10-15,"Rajasthan","Bharatpur--Keoladeo Ghana NP--Sapan Mori",27.176718,77.52193,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-10-15,"Rajasthan","Bharatpur--Keoladeo Ghana NP--Sapan Mori",27.176718,77.52193,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
1,2021-11-08,"Rajasthan","Desert NP (DNP) & Surroundings--General Area",26.905807,70.80606,"Sarcogyps calvus (Scopoli, 1786)","Sarcogyps calvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Red-headed Vulture"
4,2021-11-22,"Rajasthan","DNP, Sudasari, Rajasthan, IN (26.819, 70.518)",26.819778,70.51815,"Aegypius monachus (Linnaeus, 1766)","Aegypius monachus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Cinereous Vulture"
8,2021-11-23,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
5,2021-11-22,"Rajasthan","DNP, Sudasari, Rajasthan, IN (26.819, 70.518)",26.819778,70.51815,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-11-03,"Karnataka","Ramdevara Betta, Ramanagara",12.752204,77.3003,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
8,2021-11-24,"Rajasthan","Desert NP (DNP) & Surroundings--Sudasari",26.722372,70.60445,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
7,2021-11-08,"Rajasthan","Desert NP (DNP) & Surroundings--General Area",26.905807,70.80606,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-10-09,"Gujarat","Kheda-Khambhat Highway, Khambhat, Gujarat, IN (22.337, 72.617)",22.336515,72.61726,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
3,2021-11-13,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Aegypius monachus (Linnaeus, 1766)","Aegypius monachus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Cinereous Vulture"
2,2021-09-30,"Rajasthan","Chappar",27.808243,74.45573,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-11-25,"West Bengal","Rishop--General Area KP",27.10662,88.6494,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
3,2021-11-01,"Uttarakhand","Dayara Bugyal Trek--Gui",30.820604,78.600876,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-11-06,"Jammu and Kashmir","Bernate (34.066, 74.223)",34.065678,74.22303,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
2,2021-11-14,"Arunachal Pradesh","Mishmi Hills--65 (65 km)",28.279705,95.912445,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
2,2021-11-07,"Maharashtra","Shrivardhan",18.048306,73.010376,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
3,2021-09-11,"Tamil Nadu","Thengumarahada Village",11.569133,76.925934,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
12,2021-11-23,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Gyps fulvus (Hablizl, 1783)","Gyps fulvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Griffon Vulture"
3,2021-11-01,"Uttarakhand","Dayara Bugyal Trek--Gui",30.820604,78.600876,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
7,2021-11-26,"Karnataka","Sira Fort",13.743131,76.91385,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
1,2021-11-13,"Arunachal Pradesh","Mishmi Hills--Baramile (12th Mile)",28.211239,95.807175,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-09-08,"Gujarat","girnar gate",21.520014,70.47528,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
1,2021-10-27,"Karnataka","Ramdevara Betta, Ramanagara",12.752204,77.3003,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
4,2021-10-17,"Himachal Pradesh","Near Gangath mandir, Dhangal, Himachal Pradesh, IN (32.215, 75.827)",32.215206,75.82738,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
2,2021-11-24,"Uttarakhand","Mandal, Kedarnath Wildlife Sanctuary",30.458252,79.26962,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
16,2021-09-09,"Rajasthan","Chambal River, Kota IN-RJ 25.15944, 75.81750",25.159443,75.8175,"Gyps indicus (Scopoli, 1786)","Gyps indicus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Indian Vulture"
1,2021-10-30,"Himachal Pradesh","Billing, Kangra",32.0657,76.74903,"Gyps tenuirostris G.R.Gray, 1844","Gyps tenuirostris","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Slender-billed Vulture"
13,2021-11-23,"Uttarakhand","Chopta",30.485682,79.20091,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-12-01,"Uttarakhand","Tungnath",30.488224,79.21691,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
3,2021-11-24,"Himachal Pradesh","The Tragopan Aerie",31.621576,77.32112,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
60,2021-10-17,"Rajasthan","Jorbeer Vulture Conservation Centre",27.9659,73.37647,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
2,2021-11-21,"Sikkim","Unnamed Road, Sikkim, IN (28.05, 88.721)",28.050034,88.72147,"Gypaetus barbatus (Linnaeus, 1758)","Gypaetus barbatus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Bearded Vulture"
2,2021-11-25,"West Bengal","Rishop--General Area KP",27.10662,88.6494,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-10-18,"Himachal Pradesh","Chakban Baranj, Himachal Pradesh, IN (32.162, 76.156)",32.161785,76.156425,"Gyps bengalensis (Gmelin, 1788)","Gyps bengalensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","White-rumped Vulture"
2,2021-11-24,"Uttarakhand","Chopta Valley (OBI)",30.348003,79.05209,"Gyps himalayensis Hume, 1869","Gyps himalayensis","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Himalayan Vulture"
1,2021-09-12,"Rajasthan","Jodbeer",27.963627,73.389915,"Sarcogyps calvus (Scopoli, 1786)","Sarcogyps calvus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Red-headed Vulture"
1,2021-11-25,"Rajasthan","Tal Chhapar WLS--Gaushala Area",27.807499,74.44986,"Aegypius monachus (Linnaeus, 1766)","Aegypius monachus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Cinereous Vulture"
1,2021-10-17,"Rajasthan","Tal Chhapar WLS--Gaushala Area",27.807499,74.44986,"Neophron percnopterus (Linnaeus, 1758)","Neophron percnopterus","4fa7b334-ce0d-4e88-aaae-2e0c138d049e","Egyptian Vulture"
